rank,Name,Year,Rating,Metascore,Runtime,Genre,Votes
1,Black Panther: Wakanda Forever,2022,"

7.3
",67        ,161 min,"Action, Adventure, Drama","86,150"
2,Black Adam,2022,"

6.9
",41        ,125 min,"Action, Adventure, Fantasy","128,042"
3,Black Panther,2018,"

7.3
",88        ,134 min,"Action, Adventure, Sci-Fi","763,243"
4,Nope,2022,"

6.9
",77        ,130 min,"Horror, Mystery, Sci-Fi","160,073"
5,Everything Everywhere All at Once,2022,"

8.1
",81        ,139 min,"Action, Adventure, Comedy","239,078"
6,Thor: Love and Thunder,2022,"

6.3
",57        ,118 min,"Action, Adventure, Comedy","311,271"
7,Strange World,2022,"

5.2
",66        ,102 min,"Animation, Action, Adventure",375
8,Yashoda,2022,"

8.6
",,135 min,"Action, Sci-Fi, Thriller","5,562"
9,Avatar,2009,"

7.8
",83        ,162 min,"Action, Adventure, Fantasy","1,245,814"
10,Spider-Man: No Way Home,2021,"

8.3
",71        ,148 min,"Action, Adventure, Fantasy","745,082"
11,Interstellar,2014,"

8.6
",74        ,169 min,"Adventure, Drama, Sci-Fi","1,810,164"
12,Dune: Part One,2021,"

8.0
",74        ,155 min,"Action, Adventure, Drama","625,608"
13,Rogue One,2016,"

7.8
",65        ,133 min,"Action, Adventure, Sci-Fi","634,344"
14,Avengers: Endgame,2019,"

8.4
",78        ,181 min,"Action, Adventure, Drama","1,119,073"
15,Morbius,2022,"

5.2
",35        ,104 min,"Action, Adventure, Horror","120,049"
16,Doctor Strange in the Multiverse of Madness,2022,"

6.9
",60        ,126 min,"Action, Adventure, Fantasy","405,107"
17,Jurassic World: Dominion,2022,"

5.7
",38        ,147 min,"Action, Adventure, Sci-Fi","149,436"
18,Inception,2010,"

8.8
",74        ,148 min,"Action, Adventure, Sci-Fi","2,336,378"
19,Aquaman,2018,"

6.8
",55        ,143 min,"Action, Adventure, Fantasy","473,219"
20,Prey,2022,"

7.2
",71        ,99 min,"Action, Adventure, Drama","184,027"
21,Crimes of the Future,2022,"

5.9
",67        ,107 min,"Drama, Horror, Sci-Fi","26,584"
22,Blade Runner 2049,2017,"

8.0
",81        ,164 min,"Action, Drama, Mystery","568,525"
23,Oblivion,2013,"

7.0
",54        ,124 min,"Action, Adventure, Sci-Fi","526,323"
24,Eternals,2021,"

6.3
",52        ,156 min,"Action, Adventure, Fantasy","338,788"
25,The Hunger Games,2012,"

7.2
",68        ,142 min,"Action, Adventure, Sci-Fi","917,000"
26,Avengers: Infinity War,2018,"

8.4
",68        ,149 min,"Action, Adventure, Sci-Fi","1,071,428"
27,DC League of Super-Pets,2022,"

7.3
",56        ,105 min,"Animation, Action, Adventure","61,089"
28,Tenet,2020,"

7.3
",69        ,150 min,"Action, Sci-Fi, Thriller","499,937"
29,Back to the Future,1985,"

8.5
",87        ,116 min,"Adventure, Comedy, Sci-Fi","1,198,103"
30,Spider-Man,2002,"

7.4
",73        ,121 min,"Action, Adventure, Sci-Fi","815,633"
31,R.I.P.D.,2013,"

5.6
",25        ,96 min,"Action, Adventure, Comedy","134,662"
32,Don't Look Up,2021,"

7.2
",49        ,138 min,"Comedy, Drama, Sci-Fi","532,707"
33,The Matrix,1999,"

8.7
",73        ,136 min,"Action, Sci-Fi","1,903,209"
34,X,1963,"

6.6
",,79 min,"Horror, Sci-Fi, Thriller","7,473"
35,The Suicide Squad,2021,"

7.2
",72        ,132 min,"Action, Adventure, Comedy","348,549"
36,Free Guy,2021,"

7.1
",62        ,115 min,"Action, Adventure, Comedy","366,988"
37,Deadpool,2016,"

8.0
",65        ,108 min,"Action, Adventure, Comedy","1,032,992"
38,Guardians of the Galaxy,2014,"

8.0
",76        ,121 min,"Action, Adventure, Comedy","1,173,331"
39,Ghostbusters,1984,"

7.8
",71        ,105 min,"Action, Comedy, Fantasy","415,971"
40,Deadpool 2,2018,"

7.7
",66        ,119 min,"Action, Adventure, Comedy","580,095"
41,A Clockwork Orange,1971,"

8.3
",77        ,136 min,"Crime, Sci-Fi","828,047"
42,Alien,1979,"

8.5
",89        ,117 min,"Horror, Sci-Fi","879,280"
43,Samaritan,2022,"

5.7
",45        ,102 min,"Action, Drama, Fantasy","43,293"
44,Black Widow,2021,"

6.7
",67        ,134 min,"Action, Adventure, Sci-Fi","375,585"
45,About Time,2013,"

7.8
",55        ,123 min,"Comedy, Drama, Fantasy","350,581"
46,Ghostbusters: Afterlife,2021,"

7.1
",45        ,124 min,"Adventure, Comedy, Fantasy","180,882"
47,Guardians of the Galaxy Vol. 2,2017,"

7.6
",67        ,136 min,"Action, Adventure, Comedy","678,274"
48,Zack Snyder's Justice League,2021,"

8.0
",54        ,242 min,"Action, Adventure, Fantasy","396,071"
49,Jurassic Park,1993,"

8.2
",68        ,127 min,"Action, Adventure, Sci-Fi","984,955"
50,The Prestige,2006,"

8.5
",66        ,130 min,"Drama, Mystery, Sci-Fi","1,326,790"
51,Star Wars,1977,"

8.6
",90        ,121 min,"Action, Adventure, Fantasy","1,358,908"
52,Eternal Sunshine of the Spotless Mind,2004,"

8.3
",89        ,108 min,"Drama, Romance, Sci-Fi","1,004,105"
53,Moonfall,2022,"

5.1
",41        ,130 min,"Action, Adventure, Sci-Fi","76,668"
54,Mad Max: Fury Road,2015,"

8.1
",90        ,120 min,"Action, Adventure, Sci-Fi","998,089"
55,Blade Runner,1982,"

8.1
",84        ,117 min,"Action, Drama, Sci-Fi","767,674"
56,The Avengers,2012,"

8.0
",69        ,143 min,"Action, Adventure, Sci-Fi","1,386,484"
57,Suicide Squad,2016,"

5.9
",40        ,123 min,"Action, Adventure, Fantasy","685,043"
58,Arrival,2016,"

7.9
",81        ,116 min,"Drama, Mystery, Sci-Fi","692,097"
59,Iron Man,2008,"

7.9
",79        ,126 min,"Action, Adventure, Sci-Fi","1,055,396"
60,Spider-Man: Into the Spider-Verse,2018,"

8.4
",87        ,117 min,"Animation, Action, Adventure","523,680"
61,Captain America: The First Avenger,2011,"

6.9
",66        ,124 min,"Action, Adventure, Sci-Fi","843,260"
62,Significant Other,2022,"

5.7
",57        ,84 min,"Drama, Mystery, Sci-Fi","5,256"
63,Minions: The Rise of Gru,2022,"

6.6
",56        ,87 min,"Animation, Adventure, Comedy","61,513"
64,The Matrix Resurrections,2021,"

5.7
",63        ,148 min,"Action, Sci-Fi","248,103"
65,The Friendship Game,2022,"

3.5
",,87 min,Sci-Fi,335
66,Synchronic,2019,"

6.2
",64        ,102 min,"Crime, Drama, Horror","31,685"
67,Donnie Darko,2001,"

8.0
",88        ,113 min,"Drama, Mystery, Sci-Fi","800,499"
68,Ready Player One,2018,"

7.4
",64        ,140 min,"Action, Adventure, Sci-Fi","435,538"
69,Spiderhead,2022,"

5.4
",54        ,106 min,"Action, Crime, Drama","55,327"
70,Man of Steel,2013,"

7.1
",55        ,143 min,"Action, Adventure, Sci-Fi","770,777"
71,The Terminator,1984,"

8.1
",84        ,107 min,"Action, Sci-Fi","862,827"
72,V for Vendetta,2005,"

8.2
",62        ,132 min,"Action, Drama, Sci-Fi","1,119,690"
73,Shang-Chi and the Legend of the Ten Rings,2021,"

7.4
",71        ,132 min,"Action, Adventure, Fantasy","378,102"
74,Splice,2009,"

5.8
",66        ,104 min,"Horror, Sci-Fi","98,142"
75,Sonic the Hedgehog 2,2022,"

6.5
",47        ,122 min,"Action, Adventure, Comedy","65,156"
76,Thor: Ragnarok,2017,"

7.9
",74        ,130 min,"Action, Adventure, Comedy","748,535"
77,Edge of Tomorrow,2014,"

7.9
",71        ,113 min,"Action, Adventure, Sci-Fi","677,280"
78,Terminator Genisys,2015,"

6.3
",38        ,126 min,"Action, Adventure, Sci-Fi","279,018"
79,Captain America: Civil War,2016,"

7.8
",75        ,147 min,"Action, Adventure, Sci-Fi","784,640"
80,Lightyear,2022,"

6.0
",60        ,100 min,"Animation, Action, Adventure","101,544"
81,Aliens,1986,"

8.4
",84        ,137 min,"Action, Adventure, Sci-Fi","716,055"
82,Transformers,2007,"

7.0
",61        ,144 min,"Action, Adventure, Sci-Fi","637,992"
83,Starship Troopers,1997,"

7.3
",51        ,129 min,"Action, Adventure, Sci-Fi","297,148"
84,Star Wars: Episode IX - The Rise of Skywalker,2019,"

6.5
",53        ,141 min,"Action, Adventure, Fantasy","449,596"
